existing_path	source_file	line_at_audit	resource_category	authority_contract	canonical_target
/api/v1/payments/balance	crates/keycompute-server/src/router.rs	696	user_owned_resource	console; current tenant and self	/api/v1/me/payments/balance
/api/v1/payments/methods	crates/keycompute-server/src/router.rs	685	user_owned_resource	console; current tenant and self	/api/v1/me/payments/methods
/api/v1/payments/notify/alipay	crates/keycompute-server/src/router.rs	705	user_owned_resource	verified provider signature; immutable payment owner	unchanged
/api/v1/payments/notify/wechatpay	crates/keycompute-server/src/router.rs	706	user_owned_resource	verified provider signature; immutable payment owner	unchanged
/api/v1/payments/orders	crates/keycompute-server/src/router.rs	679	user_owned_resource	console; current tenant and self	/api/v1/me/payments/orders
/api/v1/payments/orders/{id}	crates/keycompute-server/src/router.rs	684	user_owned_resource	console; current tenant and self	/api/v1/me/payments/orders/{id}
/api/v1/payments/orders/{id}/sync	crates/keycompute-server/src/router.rs	691	user_owned_resource	console; current tenant and self	/api/v1/me/payments/orders/{id}/sync
/api/v1/payments/sync/{out_trade_no}	crates/keycompute-server/src/router.rs	687	user_owned_resource	console; current tenant and self	/api/v1/me/payments/sync/{out_trade_no}
/api/v1/platform/accounts	crates/keycompute-server/src/router.rs	467	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/accounts
/api/v1/platform/accounts/{id}	crates/keycompute-server/src/router.rs	471	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/accounts/{id}
/api/v1/platform/accounts/{id}/refresh	crates/keycompute-server/src/router.rs	479	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/accounts/{id}/refresh
/api/v1/platform/accounts/{id}/test	crates/keycompute-server/src/router.rs	478	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/accounts/{id}/test
/api/v1/platform/distribution/tenants/{tenant_id}/records	crates/keycompute-server/src/handlers/tenant_distribution.rs	342	platform_resource_or_explicit_tenant_target	root console; mandatory target tenant; current primary root check	/api/v1/platform/distribution/tenants/{tenant_id}/records
/api/v1/platform/distribution/tenants/{tenant_id}/records/{id}	crates/keycompute-server/src/handlers/tenant_distribution.rs	346	platform_resource_or_explicit_tenant_target	root console; mandatory target tenant; current primary root check	/api/v1/platform/distribution/tenants/{tenant_id}/records/{id}
/api/v1/platform/distribution/tenants/{tenant_id}/rules	crates/keycompute-server/src/handlers/tenant_distribution.rs	354	platform_resource_or_explicit_tenant_target	current scoped read; writes require JWT admin membership or root target, exact signed versions, revision and atomic audit	/api/v1/platform/distribution/tenants/{tenant_id}/rules
/api/v1/platform/distribution/tenants/{tenant_id}/rules/default	crates/keycompute-server/src/handlers/tenant_distribution.rs	0	tenant_resource	JWT tenant admin or explicit platform root target; transaction-bound default and audit	/api/v1/platform/distribution/tenants/{tenant_id}/rules/default
/api/v1/platform/distribution/tenants/{tenant_id}/rules/{id}	crates/keycompute-server/src/handlers/tenant_distribution.rs	358	platform_resource_or_explicit_tenant_target	current scoped read; writes require JWT admin membership or root target, exact signed versions, revision and atomic audit	/api/v1/platform/distribution/tenants/{tenant_id}/rules/{id}
/api/v1/platform/distribution/tenants/{tenant_id}/stats	crates/keycompute-server/src/handlers/tenant_distribution.rs	350	platform_resource_or_explicit_tenant_target	root console; mandatory target tenant; current primary root check	/api/v1/platform/distribution/tenants/{tenant_id}/stats
/api/v1/platform/model-catalog	crates/keycompute-server/src/router.rs	525	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/model-catalog
/api/v1/platform/passthrough-bindings	crates/keycompute-server/src/router.rs	495	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/passthrough-bindings
/api/v1/platform/passthrough-bindings/options	crates/keycompute-server/src/router.rs	526	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/passthrough-bindings/options
/api/v1/platform/passthrough-bindings/{id}	crates/keycompute-server/src/router.rs	499	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/passthrough-bindings/{id}
/api/v1/platform/passthrough-bindings/{id}/probe	crates/keycompute-server/src/router.rs	506	platform_resource_or_explicit_tenant_target	console JWT; current root; explicit scoped management; no tenant-role inheritance	/api/v1/platform/passthrough-bindings/{id}/probe
/api/v1/platform/pricing	crates/keycompute-server/src/router.rs	556	platform_resource_or_explicit_tenant_target	JWT; current root platform scope; explicit pricing target	/api/v1/platform/pricing
/api/v1/platform/pricing/batch-defaults	crates/keycompute-server/src/router.rs	560	platform_resource_or_explicit_tenant_target	JWT; current root platform scope; explicit pricing target	/api/v1/platform/pricing/batch-defaults
/api/v1/platform/pricing/{id}	crates/keycompute-server/src/router.rs	564	platform_resource_or_explicit_tenant_target	JWT; current root platform scope; explicit pricing target	/api/v1/platform/pricing/{id}
/api/v1/platform/pricing/{id}/make-default	crates/keycompute-server/src/router.rs	568	platform_resource_or_explicit_tenant_target	JWT; current root platform scope; explicit pricing target	/api/v1/platform/pricing/{id}/make-default
/api/v1/platform/tenants/{tenant_id}/conversations	crates/keycompute-server/src/handlers/tenant_responses.rs	1067	user_owned_resource	root with explicit tenant, reason and current origin versions; original owner preserved	/api/v1/platform/tenants/{tenant_id}/conversations
/api/v1/platform/tenants/{tenant_id}/conversations/count	crates/keycompute-server/src/handlers/tenant_responses.rs	1075	user_owned_resource	root with explicit tenant, reason and current origin versions; original owner preserved	/api/v1/platform/tenants/{tenant_id}/conversations/count
/api/v1/platform/tenants/{tenant_id}/conversations/{mode}/{owner_user_id}/{id}	crates/keycompute-server/src/handlers/tenant_responses.rs	1085	user_owned_resource	root with explicit tenant, reason and current origin versions; original owner preserved	/api/v1/platform/tenants/{tenant_id}/conversations/{mode}/{owner_user_id}/{id}
/api/v1/platform/tenants/{tenant_id}/conversations/{mode}/{owner_user_id}/{id}/items	crates/keycompute-server/src/handlers/tenant_responses.rs	1095	user_owned_resource	root with explicit tenant, reason and current origin versions; original owner preserved	/api/v1/platform/tenants/{tenant_id}/conversations/{mode}/{owner_user_id}/{id}/items
/api/v1/platform/tenants/{tenant_id}/conversations/{mode}/{owner_user_id}/{id}/items/{item_id}	crates/keycompute-server/src/handlers/tenant_responses.rs	1103	user_owned_resource	root with explicit tenant, reason and current origin versions; original owner preserved	/api/v1/platform/tenants/{tenant_id}/conversations/{mode}/{owner_user_id}/{id}/items/{item_id}
/api/v1/platform/tenants/{tenant_id}/node-registrations	crates/keycompute-server/src/handlers/tenant_nodes.rs	608	platform_resource_or_explicit_tenant_target	console; explicit target; current root/operator action allowlist	unchanged
/api/v1/platform/tenants/{tenant_id}/node-registrations/{id}	crates/keycompute-server/src/handlers/tenant_nodes.rs	612	platform_resource_or_explicit_tenant_target	console; explicit target; current root/operator action allowlist	unchanged
/api/v1/platform/tenants/{tenant_id}/nodes	crates/keycompute-server/src/handlers/tenant_nodes.rs	578	platform_resource_or_explicit_tenant_target	console; explicit target; current root/operator action allowlist	unchanged
/api/v1/platform/tenants/{tenant_id}/nodes/{id}	crates/keycompute-server/src/handlers/tenant_nodes.rs	582	platform_resource_or_explicit_tenant_target	console; explicit target; current root/operator action allowlist	unchanged
/api/v1/platform/tenants/{tenant_id}/nodes/{id}/exclude	crates/keycompute-server/src/handlers/tenant_nodes.rs	588	platform_resource_or_explicit_tenant_target	console; explicit target; current root/operator action allowlist	unchanged
/api/v1/platform/tenants/{tenant_id}/nodes/{id}/recover	crates/keycompute-server/src/handlers/tenant_nodes.rs	592	platform_resource_or_explicit_tenant_target	console; explicit target; current root/operator action allowlist	unchanged
/api/v1/platform/tenants/{tenant_id}/nodes/{id}/revoke	crates/keycompute-server/src/handlers/tenant_nodes.rs	596	platform_resource_or_explicit_tenant_target	console; explicit target; current root/operator action allowlist	unchanged
/api/v1/platform/tenants/{tenant_id}/responses	crates/keycompute-server/src/handlers/tenant_responses.rs	1027	user_owned_resource	root with explicit tenant, reason and current origin versions; original owner preserved	/api/v1/platform/tenants/{tenant_id}/responses
/api/v1/platform/tenants/{tenant_id}/responses/count	crates/keycompute-server/src/handlers/tenant_responses.rs	1035	user_owned_resource	root with explicit tenant, reason and current origin versions; original owner preserved	/api/v1/platform/tenants/{tenant_id}/responses/count
/api/v1/platform/tenants/{tenant_id}/responses/{mode}/{owner_user_id}/{id}	crates/keycompute-server/src/handlers/tenant_responses.rs	1043	user_owned_resource	root with explicit tenant, reason and current origin versions; original owner preserved	/api/v1/platform/tenants/{tenant_id}/responses/{mode}/{owner_user_id}/{id}
/api/v1/platform/tenants/{tenant_id}/responses/{mode}/{owner_user_id}/{id}/cancel	crates/keycompute-server/src/handlers/tenant_responses.rs	1051	user_owned_resource	root with explicit tenant, reason and current origin versions; original owner preserved	/api/v1/platform/tenants/{tenant_id}/responses/{mode}/{owner_user_id}/{id}/cancel
/api/v1/platform/tenants/{tenant_id}/responses/{mode}/{owner_user_id}/{id}/input_items	crates/keycompute-server/src/handlers/tenant_responses.rs	1059	user_owned_resource	root with explicit tenant, reason and current origin versions; original owner preserved	/api/v1/platform/tenants/{tenant_id}/responses/{mode}/{owner_user_id}/{id}/input_items
/api/v1/platform/tenants/{tenant_id}/tasks	crates/keycompute-server/src/handlers/tenant_nodes.rs	600	platform_resource_or_explicit_tenant_target	console; explicit target; current root/operator action allowlist	unchanged
/api/v1/platform/tenants/{tenant_id}/tasks/{id}	crates/keycompute-server/src/handlers/tenant_nodes.rs	604	platform_resource_or_explicit_tenant_target	console; explicit target; current root/operator action allowlist	unchanged
/api/v1/platform/tenants/{tenant_id}/tasks/{id}/archive	crates/keycompute-server/src/handlers/tenant_tasks.rs	122	user_owned_resource	console root; explicit tenant; current token version; owner-preserving task command	unchanged
/api/v1/platform/tenants/{tenant_id}/tasks/{id}/cancel	crates/keycompute-server/src/handlers/tenant_tasks.rs	118	user_owned_resource	console root; explicit tenant; current token version; owner-preserving task command	unchanged
/api/v1/platform/tenants/{tenant_id}/tips/withdrawals	crates/keycompute-server/src/handlers/tenant_tips.rs	526	user_owned_resource	console JWT; current root; explicit target tenant; signed identity/origin versions; reason and audit for private access/writes	/api/v1/platform/tenants/{tenant_id}/tips/withdrawals
/api/v1/platform/tenants/{tenant_id}/tips/withdrawals/{id}/approve	crates/keycompute-server/src/handlers/tenant_tips.rs	530	user_owned_resource	console JWT; current root; explicit target tenant; signed identity/origin versions; reason and audit for private access/writes	/api/v1/platform/tenants/{tenant_id}/tips/withdrawals/{id}/approve
/api/v1/platform/tenants/{tenant_id}/tips/withdrawals/{id}/complete	crates/keycompute-server/src/handlers/tenant_tips.rs	538	user_owned_resource	console JWT; current root; explicit target tenant; signed identity/origin versions; reason and audit for private access/writes	/api/v1/platform/tenants/{tenant_id}/tips/withdrawals/{id}/complete
/api/v1/platform/tenants/{tenant_id}/tips/withdrawals/{id}/reject	crates/keycompute-server/src/handlers/tenant_tips.rs	534	user_owned_resource	console JWT; current root; explicit target tenant; signed identity/origin versions; reason and audit for private access/writes	/api/v1/platform/tenants/{tenant_id}/tips/withdrawals/{id}/reject
/api/v1/platform/tenants/{tenant_id}/tips/withdrawals/{id}/support-detail	crates/keycompute-server/src/handlers/tenant_tips.rs	542	user_owned_resource	console JWT; current root; explicit target tenant; signed identity/origin versions; reason and audit for private access/writes	/api/v1/platform/tenants/{tenant_id}/tips/withdrawals/{id}/support-detail
/api/v1/pricing	crates/keycompute-server/src/router.rs	541	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/pricing
/api/v1/pricing/batch-defaults	crates/keycompute-server/src/router.rs	542	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/pricing/batch-defaults
/api/v1/pricing/calculate	crates/keycompute-server/src/router.rs	551	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/pricing/calculate
/api/v1/pricing/{id}	crates/keycompute-server/src/router.rs	543	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/pricing/{id}
/api/v1/pricing/{id}/make-default	crates/keycompute-server/src/router.rs	547	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/pricing/{id}/make-default
/api/v1/requirements	crates/keycompute-server/src/router.rs	197	platform_resource	public limited view	unchanged
/api/v1/settings	crates/keycompute-server/src/router.rs	510	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/settings
/api/v1/settings/public	crates/keycompute-server/src/router.rs	521	platform_resource	public limited view	unchanged
/api/v1/settings/{key}	crates/keycompute-server/src/router.rs	514	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/settings/{key}
/api/v1/tenants	crates/keycompute-server/src/router.rs	502	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/tenants
/api/v1/tenants/{id}	crates/keycompute-server/src/router.rs	503	platform_resource_or_explicit_tenant_target	platform scope; root or explicitly allowlisted operator action	/api/v1/platform/tenants/{id}
/api/v1/tenants/{tenant_id}/accounts	crates/keycompute-server/src/handlers/tenant_providers.rs	503	tenant_resource	console JWT; selected path tenant; current admin; owner-only resource management	/api/v1/tenants/{tenant_id}/accounts
/api/v1/tenants/{tenant_id}/accounts/{id}	crates/keycompute-server/src/handlers/tenant_providers.rs	507	tenant_resource	console JWT; selected path tenant; current admin; owner-only resource management	/api/v1/tenants/{tenant_id}/accounts/{id}
/api/v1/tenants/{tenant_id}/accounts/{id}/refresh	crates/keycompute-server/src/handlers/tenant_providers.rs	518	tenant_resource	console JWT; selected path tenant; current admin; owner-only resource management	/api/v1/tenants/{tenant_id}/accounts/{id}/refresh
/api/v1/tenants/{tenant_id}/accounts/{id}/test	crates/keycompute-server/src/handlers/tenant_providers.rs	514	tenant_resource	console JWT; selected path tenant; current admin; owner-only resource management	/api/v1/tenants/{tenant_id}/accounts/{id}/test
